datetime,day,time,system_wide,A,B,C
1/2/20 2:00,1/2/20,2:00:00 AM,3206.44546,977.9688273,1074.86227,1153.614363
1/2/20 3:00,1/2/20,3:00:00 AM,3225.951536,1011.46091,1077.105305,1137.385321
1/2/20 4:00,1/2/20,4:00:00 AM,3340.176883,1097.83523,1097.292618,1145.049035
1/2/20 5:00,1/2/20,5:00:00 AM,3589.510878,1221.227115,1155.162915,1213.120848
1/2/20 6:00,1/2/20,6:00:00 AM,3856.578952,1274.109352,1236.360774,1346.108826
1/2/20 7:00,1/2/20,7:00:00 AM,3866.832072,1224.752598,1215.276247,1426.803227
1/2/20 8:00,1/2/20,8:00:00 AM,3914.199464,1174.690747,1204.061074,1535.447643
1/2/20 9:00,1/2/20,9:00:00 AM,3960.705282,1150.364918,1192.8459,1617.494464
1/2/20 10:00,1/2/20,10:00:00 AM,4000.194398,1128.506927,1185.219581,1686.46789
1/2/20 11:00,1/2/20,11:00:00 AM,4032.146723,1120.750866,1177.593263,1733.802594
1/2/20 12:00,1/2/20,12:00:00 PM,4030.866206,1112.642256,1164.135054,1754.088896
1/2/20 13:00,1/2/20,1:00:00 PM,4049.692653,1101.713261,1163.686447,1784.292945
1/2/20 14:00,1/2/20,2:00:00 PM,4035.105828,1099.245423,1152.91988,1782.940525
1/2/20 15:00,1/2/20,3:00:00 PM,3993.972271,1101.360713,1147.08799,1745.523568
1/2/20 16:00,1/2/20,4:00:00 PM,4113.936523,1163.056655,1215.724854,1735.155014
1/2/20 17:00,1/2/20,5:00:00 PM,4541.270659,1265.295646,1386.644105,1889.330908
1/2/20 18:00,1/2/20,6:00:00 PM,4519.404825,1256.129391,1402.345349,1860.930085
1/2/20 19:00,1/2/20,7:00:00 PM,4396.128147,1222.989857,1397.410672,1775.727618
1/2/20 20:00,1/2/20,8:00:00 PM,4230.415438,1176.10094,1358.830474,1695.484024
1/2/20 21:00,1/2/20,9:00:00 PM,3961.808562,1094.662296,1283.913112,1583.233154
1/2/20 22:00,1/2/20,10:00:00 PM,3654.622537,1009.345621,1206.752715,1438.524201
1/2/20 23:00,1/2/20,11:00:00 PM,3408.88239,963.8668976,1135.872816,1309.142676
1/3/20 0:00,1/3/20,12:00:00 AM,3268.125923,948.7073231,1099.535652,1219.882948
1/3/20 1:00,1/3/20,1:00:00 AM,3191.466141,932.8426522,1086.526051,1172.097438
1/3/20 2:00,1/3/20,2:00:00 AM,3165.812642,940.9512618,1076.656698,1148.204682
1/3/20 3:00,1/3/20,3:00:00 AM,3183.587663,970.9178624,1080.69416,1131.975641
1/3/20 4:00,1/3/20,4:00:00 AM,3283.288249,1049.536121,1102.227294,1131.524834
1/3/20 5:00,1/3/20,5:00:00 AM,3532.166727,1176.10094,1164.583661,1191.482126
1/3/20 6:00,1/3/20,6:00:00 AM,3800.232163,1231.803563,1249.818983,1318.609617
1/3/20 7:00,1/3/20,7:00:00 AM,3831.668974,1203.599703,1222.453959,1405.615312
1/3/20 8:00,1/3/20,8:00:00 AM,3925.012427,1164.819396,1214.82764,1545.365391
1/3/20 9:00,1/3/20,9:00:00 AM,3978.075719,1149.307274,1204.061074,1624.707371
1/3/20 10:00,1/3/20,10:00:00 AM,4040.035887,1139.083375,1192.8459,1708.106612
1/3/20 11:00,1/3/20,11:00:00 AM,4076.101666,1126.391638,1178.490477,1771.219551
1/3/20 12:00,1/3/20,12:00:00 PM,4075.642992,1116.872835,1169.518338,1789.251819
1/3/20 13:00,1/3/20,1:00:00 PM,4081.639755,1110.174419,1154.714308,1816.751028
1/3/20 14:00,1/3/20,2:00:00 PM,4069.301565,1102.770905,1149.779632,1816.751028
1/3/20 15:00,1/3/20,3:00:00 PM,4026.396778,1099.95052,1142.153313,1784.292945
1/3/20 16:00,1/3/20,4:00:00 PM,3976.312271,1141.551212,1085.18023,1749.580829
1/3/20 17:00,1/3/20,5:00:00 PM,4451.799923,1234.2714,1354.344404,1863.184119
1/3/20 18:00,1/3/20,6:00:00 PM,4370.271818,1206.420089,1360.624902,1803.226827
1/3/20 19:00,1/3/20,7:00:00 PM,4226.842913,1166.582138,1341.334802,1718.925973
1/3/20 20:00,1/3/20,8:00:00 PM,4071.27911,1139.788471,1308.586495,1622.904144
1/3/20 21:00,1/3/20,9:00:00 PM,3879.706211,1085.496042,1264.623013,1529.587156
1/3/20 22:00,1/3/20,10:00:00 PM,3640.051069,1014.633845,1211.687392,1413.729832
1/3/20 23:00,1/3/20,11:00:00 PM,3424.957869,967.39238,1150.676846,1306.888643
1/4/20 0:00,1/4/20,12:00:00 AM,3272.427365,947.6496784,1109.853612,1214.924075
1/4/20 1:00,1/4/20,1:00:00 AM,3195.548177,934.2528451,1093.255155,1168.040177
1/4/20 2:00,1/4/20,2:00:00 AM,3158.80343,941.6563582,1086.974658,1130.172414
1/4/20 3:00,1/4/20,3:00:00 AM,3143.663207,953.9955468,1082.937195,1106.730465
1/4/20 4:00,1/4/20,4:00:00 AM,3196.491962,998.7691737,1095.049583,1102.673205
1/4/20 5:00,1/4/20,5:00:00 AM,3310.219552,1062.580406,1120.171572,1127.467574
1/4/20 6:00,1/4/20,6:00:00 AM,3433.20588,1118.988125,1148.882418,1165.335337
1/4/20 7:00,1/4/20,7:00:00 AM,3457.286948,1142.961405,1126.900677,1187.424866
1/4/20 8:00,1/4/20,8:00:00 AM,3546.809656,1136.968085,1138.115851,1271.72572
1/4/20 9:00,1/4/20,9:00:00 AM,3622.943128,1122.513607,1143.050527,1357.378994
1/4/20 10:00,1/4/20,10:00:00 AM,3648.355578,1105.94384,1131.386746,1411.024992
1/4/20 11:00,1/4/20,11:00:00 AM,3623.661643,1083.380752,1106.264757,1434.016134
1/4/20 12:00,1/4/20,12:00:00 PM,3611.762465,1061.170213,1117.928538,1432.663714
1/4/20 13:00,1/4/20,1:00:00 PM,3553.194234,1038.607125,1105.81615,1408.770959
1/4/20 14:00,1/4/20,2:00:00 PM,3519.14075,1034.729095,1099.984259,1384.427396
1/4/20 15:00,1/4/20,3:00:00 PM,3490.580605,1045.305542,1082.937195,1362.337868
1/4/20 16:00,1/4/20,4:00:00 PM,3642.595508,1113.347353,1149.779632,1379.468523
1/4/20 17:00,1/4/20,5:00:00 PM,4071.928697,1206.772637,1322.044703,1543.111357
1/4/20 18:00,1/4/20,6:00:00 PM,4093.322064,1181.741712,1323.839131,1587.741221
1/4/20 19:00,1/4/20,7:00:00 PM,4008.511607,1153.185304,1304.100425,1551.225878
1/4/20 20:00,1/4/20,8:00:00 PM,3893.378088,1112.289708,1274.492366,1506.596014
1/4/20 21:00,1/4/20,9:00:00 PM,3735.368891,1055.529441,1237.257988,1442.581462
1/4/20 22:00,1/4/20,10:00:00 PM,3541.576155,996.301336,1191.051472,1354.223347
1/4/20 23:00,1/4/20,11:00:00 PM,3380.19868,963.1618011,1141.704706,1275.332173
1/5/20 0:00,1/5/20,12:00:00 AM,3255.312109,947.6496784,1106.713364,1200.949067
1/5/20 1:00,1/5/20,1:00:00 AM,3186.29604,941.6563582,1088.320479,1156.319203
1/5/20 2:00,1/5/20,2:00:00 AM,3153.440943,946.5920336,1072.619235,1134.229674
1/5/20 3:00,1/5/20,3:00:00 AM,3155.548809,964.9245423,1071.722021,1118.902246
1/5/20 4:00,1/5/20,4:00:00 AM,3194.020143,999.8268184,1079.348339,1114.844986
1/5/20 5:00,1/5/20,5:00:00 AM,3276.675067,1063.63805,1097.741225,1115.295792
1/5/20 6:00,1/5/20,6:00:00 AM,3376.69325,1124.981445,1117.031324,1134.680481
1/5/20 7:00,1/5/20,7:00:00 AM,3371.102046,1145.429243,1095.049583,1130.62322
1/5/20 8:00,1/5/20,8:00:00 AM,3417.320537,1128.154379,1109.405006,1179.761152
1/5/20 9:00,1/5/20,9:00:00 AM,3459.828025,1108.059129,1121.517393,1230.251503
1/5/20 10:00,1/5/20,10:00:00 AM,3466.810287,1074.919594,1121.517393,1270.3733
1/5/20 11:00,1/5/20,11:00:00 AM,3461.020017,1053.7667,1114.339682,1292.913635
1/5/20 12:00,1/5/20,12:00:00 PM,3442.893135,1031.55616,1108.956399,1302.380576
1/5/20 13:00,1/5/20,1:00:00 PM,3425.809498,1015.338941,1101.778687,1308.69187
1/5/20 14:00,1/5/20,2:00:00 PM,3418.08932,1015.691489,1093.255155,1309.142676
1/5/20 15:00,1/5/20,3:00:00 PM,3413.028477,1024.152647,1092.806548,1296.069282
1/5/20 16:00,1/5/20,4:00:00 PM,3583.970149,1105.238743,1155.162915,1323.568491
1/5/20 17:00,1/5/20,5:00:00 PM,4035.42604,1219.816922,1313.521171,1502.087947
1/5/20 18:00,1/5/20,6:00:00 PM,4112.40431,1216.643988,1332.362663,1563.397659
1/5/20 19:00,1/5/20,7:00:00 PM,4057.14147,1191.965611,1318.007241,1547.168618
1/5/20 20:00,1/5/20,8:00:00 PM,3913.567885,1140.141019,1274.043759,1499.383107
1/5/20 21:00,1/5/20,9:00:00 PM,3707.914676,1060.465116,1223.351173,1424.098387
1/5/20 22:00,1/5/20,10:00:00 PM,3469.801293,987.4876299,1160.097592,1322.216071
1/5/20 23:00,1/5/20,11:00:00 PM,3302.149298,960.6939634,1110.302219,1231.153116
1/6/20 0:00,1/6/20,12:00:00 AM,3193.486747,951.5277091,1083.385802,1158.573236
1/6/20 1:00,1/6/20,1:00:00 AM,3155.725151,952.937902,1073.516449,1129.2708
1/6/20 2:00,1/6/20,2:00:00 AM,3138.784901,970.212766,1064.095703,1104.476432
1/6/20 3:00,1/6/20,3:00:00 AM,3183.061837,1011.813459,1069.927593,1101.320785
1/6/20 4:00,1/6/20,4:00:00 AM,3340.382751,1129.564572,1090.563513,1120.254666
1/6/20 5:00,1/6/20,5:00:00 AM,3641.79243,1300.55047,1153.817094,1187.424866
1/6/20 6:00,1/6/20,6:00:00 AM,3950.780885,1371.060119,1245.332914,1334.387852
1/6/20 7:00,1/6/20,7:00:00 AM,3953.021386,1298.787729,1218.865103,1435.368554
1/6/20 8:00,1/6/20,8:00:00 AM,3963.477337,1220.874567,1216.622068,1525.980702
1/6/20 9:00,1/6/20,9:00:00 AM,3996.329833,1182.446809,1205.855501,1608.027523
1/6/20 10:00,1/6/20,10:00:00 AM,4031.080681,1153.185304,1206.304108,1671.591269
1/6/20 11:00,1/6/20,11:00:00 AM,4038.410889,1130.269668,1197.780576,1710.360645
1/6/20 12:00,1/6/20,12:00:00 PM,3988.946783,1107.706581,1167.72391,1713.516292
1/6/20 13:00,1/6/20,1:00:00 PM,3951.635659,1090.079169,1136.77003,1724.78646
1/6/20 14:00,1/6/20,2:00:00 PM,3950.668364,1086.906235,1146.639383,1717.122746
1/6/20 15:00,1/6/20,3:00:00 PM,3922.328512,1093.252103,1141.256099,1687.82031
1/6/20 16:00,1/6/20,4:00:00 PM,4049.022667,1169.755072,1202.266646,1677.000949
1/6/20 17:00,1/6/20,5:00:00 PM,4538.265467,1293.499505,1407.728632,1837.03733
1/6/20 18:00,1/6/20,6:00:00 PM,4567.711475,1293.852053,1450.346293,1823.513129
1/6/20 19:00,1/6/20,7:00:00 PM,4453.330782,1267.763483,1436.888084,1748.679215
1/6/20 20:00,1/6/20,8:00:00 PM,4297.002734,1222.637308,1406.831418,1667.534008
1/6/20 21:00,1/6/20,9:00:00 PM,4029.869938,1126.03909,1341.334802,1562.496046
1/6/20 22:00,1/6/20,10:00:00 PM,3694.590594,1044.952994,1236.809381,1412.828219
1/6/20 23:00,1/6/20,11:00:00 PM,3473.046155,1004.762494,1171.312766,1296.970895
1/7/20 0:00,1/7/20,12:00:00 AM,3299.158833,1004.057397,1094.152369,1200.949067
1/7/20 1:00,1/7/20,1:00:00 AM,3241.935289,1000.884463,1084.731623,1156.319203
1/7/20 2:00,1/7/20,2:00:00 AM,3228.312006,1017.454231,1082.488588,1128.369187
1/7/20 3:00,1/7/20,3:00:00 AM,3274.191252,1059.76002,1089.217692,1125.21354
1/7/20 4:00,1/7/20,4:00:00 AM,3435.388889,1179.626423,1118.377145,1137.385321
1/7/20 5:00,1/7/20,5:00:00 AM,3742.992694,1349.202128,1193.743113,1200.047453
1/7/20 6:00,1/7/20,6:00:00 AM,4059.68775,1408.077684,1294.231072,1357.378994
1/7/20 7:00,1/7/20,7:00:00 AM,4050.485765,1336.510391,1262.828585,1451.146789
1/7/20 8:00,1/7/20,8:00:00 AM,4007.427948,1240.969817,1224.248387,1542.209744
1/7/20 9:00,1/7/20,9:00:00 AM,3990.084221,1185.619743,1195.986148,1608.47833
1/7/20 10:00,1/7/20,10:00:00 AM,3899.735103,1142.961405,1084.731623,1672.042075
1/7/20 11:00,1/7/20,11:00:00 AM,4006.900238,1118.988125,1186.116795,1701.795318
1/7/20 12:00,1/7/20,12:00:00 PM,3994.424925,1112.289708,1169.069731,1713.065486
1/7/20 13:00,1/7/20,1:00:00 PM,3958.499997,1086.201138,1152.471273,1719.827586
1/7/20 14:00,1/7/20,2:00:00 PM,3942.603749,1078.797625,1137.667244,1726.13888
1/7/20 15:00,1/7/20,3:00:00 PM,3924.616744,1088.316428,1139.013065,1697.287251
1/7/20 16:00,1/7/20,4:00:00 PM,4061.011021,1163.761752,1212.584606,1684.664663
1/7/20 17:00,1/7/20,5:00:00 PM,4523.456821,1280.102672,1419.84102,1823.513129
1/7/20 18:00,1/7/20,6:00:00 PM,4553.090858,1276.57719,1460.664253,1815.849415
1/7/20 19:00,1/7/20,7:00:00 PM,4456.422947,1264.590549,1446.30883,1745.523568
1/7/20 20:00,1/7/20,8:00:00 PM,4309.447496,1211.708313,1420.738234,1677.000949
1/7/20 21:00,1/7/20,9:00:00 PM,4037.506944,1129.212024,1350.306942,1557.987978
1/7/20 22:00,1/7/20,10:00:00 PM,3705.408645,1043.190252,1245.332914,1416.885479
1/7/20 23:00,1/7/20,11:00:00 PM,3481.846351,1016.749134,1177.593263,1287.503954
1/8/20 0:00,1/8/20,12:00:00 AM,3344.091702,1000.531915,1140.807493,1202.752294
1/8/20 1:00,1/8/20,1:00:00 AM,3293.802065,1009.698169,1130.489533,1153.614363
1/8/20 2:00,1/8/20,2:00:00 AM,3286.201899,1027.325581,1126.900677,1131.975641
1/8/20 3:00,1/8/20,3:00:00 AM,3347.7449,1086.201138,1134.526995,1127.016767
1/8/20 4:00,1/8/20,4:00:00 AM,3512.968312,1197.958931,1171.312766,1143.696615
1/8/20 5:00,1/8/20,5:00:00 AM,3859.049565,1384.456952,1263.725799,1210.866814
1/8/20 6:00,1/8/20,6:00:00 AM,4218.307615,1463.427759,1379.017787,1375.862069
1/8/20 7:00,1/8/20,7:00:00 AM,4193.79171,1388.687531,1341.334802,1463.769377
1/8/20 8:00,1/8/20,8:00:00 AM,4124.030374,1274.109352,1303.203211,1546.717811
1/8/20 9:00,1/8/20,9:00:00 AM,4100.296515,1207.830282,1268.660475,1623.805758
1/8/20 10:00,1/8/20,10:00:00 AM,4077.594969,1161.99901,1240.398237,1675.197722
1/8/20 11:00,1/8/20,11:00:00 AM,4047.163516,1126.03909,1216.173461,1704.950965
1/8/20 12:00,1/8/20,12:00:00 PM,3989.591177,1106.648936,1188.35983,1694.582411
1/8/20 13:00,1/8/20,1:00:00 PM,3958.501156,1089.021524,1175.798835,1693.680797
1/8/20 14:00,1/8/20,2:00:00 PM,3918.828009,1081.265463,1157.40595,1680.156596
1/8/20 15:00,1/8/20,3:00:00 PM,3933.856907,1098.187778,1175.798835,1659.870294
1/8/20 16:00,1/8/20,4:00:00 PM,4112.781897,1170.812716,1286.156147,1655.813034
1/8/20 17:00,1/8/20,5:00:00 PM,4576.692413,1293.852053,1457.524004,1825.316356
1/8/20 18:00,1/8/20,6:00:00 PM,4602.047006,1291.384216,1483.543208,1827.119582
1/8/20 19:00,1/8/20,7:00:00 PM,4503.92773,1271.641514,1470.533606,1761.75261
1/8/20 20:00,1/8/20,8:00:00 PM,4356.648611,1236.38669,1424.32709,1695.934831
1/8/20 21:00,1/8/20,9:00:00 PM,4068.092205,1144.01905,1350.306942,1573.766213
1/8/20 22:00,1/8/20,10:00:00 PM,3749.600657,1060.817665,1252.062018,1436.720974
1/8/20 23:00,1/8/20,11:00:00 PM,3511.7858,1024.152647,1178.490477,1309.142676
1/9/20 0:00,1/9/20,12:00:00 AM,3372.713303,1014.281296,1141.704706,1216.727301
1/9/20 1:00,1/9/20,1:00:00 AM,3304.503477,1016.749134,1121.517393,1166.23695
1/9/20 2:00,1/9/20,2:00:00 AM,3306.833948,1037.54948,1118.825752,1150.458716
1/9/20 3:00,1/9/20,3:00:00 AM,3360.199568,1086.906235,1128.695105,1144.598228
1/9/20 4:00,1/9/20,4:00:00 AM,3520.805454,1208.887927,1158.303164,1153.614363
1/9/20 5:00,1/9/20,5:00:00 AM,3861.507823,1395.385948,1244.4357,1221.686175
1/9/20 6:00,1/9/20,6:00:00 AM,4171.402491,1456.024245,1344.475051,1370.903195
1/9/20 7:00,1/9/20,7:00:00 AM,4159.807149,1385.162048,1301.408783,1473.236318
1/9/20 8:00,1/9/20,8:00:00 AM,4139.838934,1279.397575,1272.249331,1588.192028
1/9/20 9:00,1/9/20,9:00:00 AM,4114.97206,1210.650668,1241.295451,1663.025941
1/9/20 10:00,1/9/20,10:00:00 AM,4041.151479,1162.704107,1185.668188,1692.779184
1/9/20 11:00,1/9/20,11:00:00 AM,3990.516691,1133.090054,1151.574059,1705.852578
1/9/20 12:00,1/9/20,12:00:00 PM,3954.792371,1109.469322,1137.667244,1707.655805
1/9/20 13:00,1/9/20,1:00:00 PM,3937.081519,1090.784265,1122.863214,1723.43404
1/9/20 14:00,1/9/20,2:00:00 PM,3904.064305,1081.618011,1114.339682,1708.106612
1/9/20 15:00,1/9/20,3:00:00 PM,3910.913043,1087.611331,1123.760428,1699.541284
1/9/20 16:00,1/9/20,4:00:00 PM,4017.872782,1157.415883,1177.144656,1683.312243
1/9/20 17:00,1/9/20,5:00:00 PM,4519.309051,1284.333251,1381.709429,1853.266371
1/9/20 18:00,1/9/20,6:00:00 PM,4559.006867,1286.801089,1419.84102,1852.364758
1/9/20 19:00,1/9/20,7:00:00 PM,4438.05468,1268.116032,1406.382811,1763.555837
1/9/20 20:00,1/9/20,8:00:00 PM,4272.737893,1227.925532,1366.008185,1678.804176
1/9/20 21:00,1/9/20,9:00:00 PM,4000.732969,1144.01905,1296.922714,1559.791205
1/9/20 22:00,1/9/20,10:00:00 PM,3689.915715,1057.292182,1213.033213,1419.59032
1/9/20 23:00,1/9/20,11:00:00 PM,3452.35535,1011.46091,1148.882418,1292.012022
1/10/20 0:00,1/10/20,12:00:00 AM,3319.745779,1002.647204,1112.993861,1204.104714
1/10/20 1:00,1/10/20,1:00:00 AM,3261.476588,1003.352301,1096.395404,1161.728883
1/10/20 2:00,1/10/20,2:00:00 AM,3254.985552,1020.274617,1090.563513,1144.147422
1/10/20 3:00,1/10/20,3:00:00 AM,3298.529794,1066.105888,1097.292618,1135.131288
1/10/20 4:00,1/10/20,4:00:00 AM,3450.247601,1182.799357,1125.554856,1141.893388
1/10/20 5:00,1/10/20,5:00:00 AM,3771.281236,1365.771895,1194.19172,1211.317621
1/10/20 6:00,1/10/20,6:00:00 AM,4050.414143,1425.705096,1264.174406,1360.534641
1/10/20 7:00,1/10/20,7:00:00 AM,4060.909799,1354.490351,1240.846844,1465.572604
1/10/20 8:00,1/10/20,8:00:00 AM,4036.413098,1255.071747,1222.902566,1558.438785
1/10/20 9:00,1/10/20,9:00:00 AM,4048.733936,1191.613063,1213.930427,1643.190446
1/10/20 10:00,1/10/20,10:00:00 AM,4055.129468,1154.242949,1206.304108,1694.582411
1/10/20 11:00,1/10/20,11:00:00 AM,4030.196843,1121.103414,1187.462616,1721.630813
1/10/20 12:00,1/10/20,12:00:00 PM,3984.452428,1094.662296,1170.864159,1718.925973
1/10/20 13:00,1/10/20,1:00:00 PM,3958.529174,1087.611331,1158.303164,1712.614679
1/10/20 14:00,1/10/20,2:00:00 PM,3903.168762,1071.394112,1142.60192,1689.17273
1/10/20 15:00,1/10/20,3:00:00 PM,3855.0471,1075.977239,1134.526995,1644.542866
1/10/20 16:00,1/10/20,4:00:00 PM,3945.380919,1126.391638,1175.798835,1643.190446
1/10/20 17:00,1/10/20,5:00:00 PM,4334.210277,1221.227115,1345.820872,1767.16229
1/10/20 18:00,1/10/20,6:00:00 PM,4330.508169,1201.836962,1364.213757,1764.45745
1/10/20 19:00,1/10/20,7:00:00 PM,4215.833701,1181.741712,1345.820872,1688.271117
1/10/20 20:00,1/10/20,8:00:00 PM,4090.62678,1151.070015,1318.455848,1621.100917
1/10/20 21:00,1/10/20,9:00:00 PM,3890.679982,1087.963879,1276.735401,1525.980702
1/10/20 22:00,1/10/20,10:00:00 PM,3645.599182,1015.691489,1215.276247,1414.631446
1/10/20 23:00,1/10/20,11:00:00 PM,3428.378493,971.2704107,1152.022666,1305.085416
1/11/20 0:00,1/11/20,12:00:00 AM,3283.335875,950.4700643,1115.236896,1217.628915
1/11/20 1:00,1/11/20,1:00:00 AM,3208.807467,944.8292924,1097.741225,1166.23695
1/11/20 2:00,1/11/20,2:00:00 AM,3172.958355,945.8869372,1085.628837,1141.442581
1/11/20 3:00,1/11/20,3:00:00 AM,3167.447394,962.4567046,1083.834409,1121.15628
1/11/20 4:00,1/11/20,4:00:00 AM,3207.893384,998.4166254,1088.320479,1121.15628
1/11/20 5:00,1/11/20,5:00:00 AM,3312.753382,1065.048243,1106.713364,1140.991775
1/11/20 6:00,1/11/20,6:00:00 AM,3446.739676,1133.795151,1132.732567,1180.211958
1/11/20 7:00,1/11/20,7:00:00 AM,3501.763844,1171.165265,1117.928538,1212.670041
1/11/20 8:00,1/11/20,8:00:00 AM,3621.637523,1169.402524,1134.526995,1317.708004
1/11/20 9:00,1/11/20,9:00:00 AM,3714.208065,1141.198664,1143.050527,1429.958874
1/11/20 10:00,1/11/20,10:00:00 AM,3762.58777,1121.455962,1132.732567,1508.399241
1/11/20 11:00,1/11/20,11:00:00 AM,3717.427506,1087.963879,1121.966,1507.497627
1/11/20 12:00,1/11/20,12:00:00 PM,3660.713676,1066.810985,1111.199433,1482.703258
1/11/20 13:00,1/11/20,1:00:00 PM,3587.90855,1038.607125,1105.367543,1443.933882
1/11/20 14:00,1/11/20,2:00:00 PM,3540.409636,1031.203612,1099.984259,1409.221765
1/11/20 15:00,1/11/20,3:00:00 PM,3533.535458,1037.902029,1109.853612,1385.779817
1/11/20 16:00,1/11/20,4:00:00 PM,3669.132333,1097.130134,1164.583661,1407.418538
1/11/20 17:00,1/11/20,5:00:00 PM,4092.054191,1194.433449,1320.698882,1576.92186
1/11/20 18:00,1/11/20,6:00:00 PM,4140.528024,1178.921326,1326.530773,1635.075925
1/11/20 19:00,1/11/20,7:00:00 PM,4054.112746,1152.832756,1309.932315,1591.347675
1/11/20 20:00,1/11/20,8:00:00 PM,3937.079941,1112.289708,1279.875649,1544.914584
1/11/20 21:00,1/11/20,9:00:00 PM,3761.511592,1052.356507,1234.566347,1474.588738
1/11/20 22:00,1/11/20,10:00:00 PM,3546.654907,984.6672439,1184.322367,1377.665296
1/11/20 23:00,1/11/20,11:00:00 PM,3369.627254,946.2394854,1133.629781,1289.757988
1/12/20 0:00,1/12/20,12:00:00 AM,3240.377272,920.5034636,1098.638439,1221.235369
1/12/20 1:00,1/12/20,1:00:00 AM,3165.155966,909.2219198,1083.385802,1172.548244
1/12/20 2:00,1/12/20,2:00:00 AM,3115.684017,899.350569,1069.030379,1147.303069
1/12/20 3:00,1/12/20,3:00:00 AM,3094.178439,902.170955,1065.441524,1126.56596
1/12/20 4:00,1/12/20,4:00:00 AM,3131.83573,933.5477486,1071.722021,1126.56596
1/12/20 5:00,1/12/20,5:00:00 AM,3221.019463,991.7182088,1090.563513,1138.737741
1/12/20 6:00,1/12/20,6:00:00 AM,3316.642236,1047.77338,1111.64804,1157.220816
1/12/20 7:00,1/12/20,7:00:00 AM,3344.169704,1081.970559,1092.806548,1169.392597
1/12/20 8:00,1/12/20,8:00:00 AM,3420.91606,1089.374072,1109.405006,1222.136982
1/12/20 9:00,1/12/20,9:00:00 AM,3483.93472,1086.201138,1125.106249,1272.627333
1/12/20 10:00,1/12/20,10:00:00 AM,3499.251082,1071.74666,1121.517393,1305.987029
1/12/20 11:00,1/12/20,11:00:00 AM,3492.208808,1057.997279,1132.732567,1301.478962
1/12/20 12:00,1/12/20,12:00:00 PM,3472.86076,1035.434191,1120.620179,1316.80639
1/12/20 13:00,1/12/20,1:00:00 PM,3439.730402,1013.5762,1121.068786,1305.085416
1/12/20 14:00,1/12/20,2:00:00 PM,3420.070737,1014.633845,1117.031324,1288.405568
1/12/20 15:00,1/12/20,3:00:00 PM,3439.767554,1031.203612,1122.863214,1285.700728
1/12/20 16:00,1/12/20,4:00:00 PM,3610.794907,1105.591291,1180.733512,1324.470104
1/12/20 17:00,1/12/20,5:00:00 PM,4157.422993,1235.329045,1386.195498,1535.89845
1/12/20 18:00,1/12/20,6:00:00 PM,4300.496489,1235.681593,1423.878483,1640.936413
1/12/20 19:00,1/12/20,7:00:00 PM,4243.379557,1206.420089,1404.588383,1632.371085
1/12/20 20:00,1/12/20,8:00:00 PM,4115.87874,1171.165265,1370.045648,1574.667827
